Latitude,Longitude,Date,Event/Activity,Town,Description,Article Name,Newspaper,Month,Day,Year
39.7045454,-77.3270988,1925-04-01T00:00:00Z,Child's Health Conference,Emmitsburg,Meg assisted at a child's health conference held by the Woman's Club of Emmitsburg at the Slagle Hotel. This was the first clinic held in Emmitsburg. ,Child's Clinic at Emmitsburg, The Frederick Post,April,6,1925
39.6764092,-77.3567104,1925-08-01T00:00:00Z,St. Anthony,,Meg visited St. Anthony. ,St. Anthony, The Frederick Post,August,21,1925
39.5761225,-77.5524044,1925-08-21T00:00:00Z,Clinic,Wolfsville,"Meg was in charge of a clinic in Wolfsville, in collaboration with the Woman's Club. She gave directions and consultations to mothers. ""Miss Newman, in assisting mothers with the care of their children, pointed out the importance of taking preventive measures in regard to all physical ailments, offered specific advice in each case, distributed feeding lists and other material, and aided generally in the promotion of better health among persons of that locality.""",35 Persons Examined at Clinic at Wolfsville," The News (Frederick, MD)",August,22,1925
39.6249949,-77.4113846,1925-10-16T00:00:00Z,Health Talk,Thurmont,Meg gave a health talk in Thurmont with Dr. Kefauver. ,Interest School in Health Work, The Frederick Post,October,16,1925
39.5057625,-77.5664806,1925-10-28T00:00:00Z,Health Clinic,Myersville,Meg assisted at a health clinic at Myersville. She spoke at PTA meetings about the benefits of health clinics. ,Health Clinic Conducted at Myersville Monday," The Daily News (Frederick, MD)",October,28,1925
39.6435032,-77.4074364,1925-11-02T00:00:00Z,Child Hygiene Clinic,Franklinville,Meg held a child hygiene clinic in Franklinville. ,Child Clinic," The Daily News (Frederick, MD)",November,2,1925
39.3149098,-77.6277637,1925-12-23T00:00:00Z,Clinic,Brunswick,"Meg assisted at a clinic at the B&O Emergency Hospital. ""Eight patients were present. The rush before Christmas and the inclement weather prevented some from attending who had been recommended."" ","Seal Sale Nearly $2,500", The Frederick Post,December,23,1925
39.3151755,-77.6263905,1926-01-08T00:00:00Z,School Inspections,Brunswick,Meg inspected Brunswick schools for diseases. ,Scarlet Fever Attack, The Frederick Post,January,6,1926
39.4173641,-77.4117279,1926-01-26T00:00:00Z,Tuberculosis Clinic,Frederick,Meg assisted at a bimonthly tuberculosis clinic in Frederick. ,17 Patients at Regular Clinic at Courthouse, The Frederick Post,January,26,1926
39.5331563,-77.314706,1926-02-23T00:00:00Z,Talk at the Woodsboro PTA,,"Meg, Katherine Scully, and Pauline Michael speak at the Parent-Teachers Association of Woodsboro in the Woodsboro Opera House. ",Epidemic Colds Sweeps County; Public Warned,The Frederick Post,February,22,1926
39.4163032,-77.4079514,1926-03-01T00:00:00Z,Meeting of Federated Charities and Public Health Department,Frederick,Meg attended a meeting of the Federated Charities and Public Health Department of Frederick. ,Outline Health Work of County, The Frederick Post,March,1,1926
39.4151552,-77.4112999,1926-03-08T00:00:00Z,Talk at the Evangelical Reformed Church Altar Guild meeting,Frederick,"Meg spoke at the Evangelical Reformed Church Altar Guild meeting, describing the work of a public health nurse. ""Stressing the work in the schools of Frederick as an important phase of public health work, Miss Newman described the aims of the local health department in regard to clinics being held here, told of plans to hold a dental clinic, and gave a comprehensive general outline of the work in this section of the state.""",Dental Clinic Is Considered,,March,10,1926
39.4127971,-77.417008,1926-03-18T00:00:00Z,School Inspections at the Jefferson School,Frederick,Meg inspected the Academy building and Jefferson school. ,Health Survey Schools Begin,,March,18,1926
39.3620902,-77.5319922,1926-04-15T00:00:00Z,Children's Clinic,Jefferson,"Meg assists at a children's clinic in Jefferson, at the St. Paul's Lutheran church Sunday school rooms. ",Children's Clinic: Twenty-three Youngsters Examined at Jefferson,"The News (Frederick, MD)",April,21,1926
39.3142682,-77.6277679,1926-04-28T00:00:00Z,Chest Clinic,Brunswick Emergency Hospital,"Meg assisted at a chest clinic at the Brunswick Emergency Hospital, the largest ever held in the country. ",29 Patients Examined, The Frederick Post,April,28,1926
39.6578773,-77.1744279,1926-05-20T00:00:00Z,Monocacy Club Annual Outing at Saubel's Inn,near Taneytown,Meg attended the Monocacy Club Annual Outing. ,125 Members And Guests On Annual Outing Given By Monocacy Club May 19," The News (Frederick, MD)",May,20,1926
39.5325605,-77.3155643,1926-06-09T00:00:00Z,Pre-school Conference,Woodsboro,Meg assists at a pre-school conference at the Woodsboro school.,Examine Children for New School Year,"The News (Frederick, MD)",June,10,1926
39.6813884,-77.3508418,1926-06-11T00:00:00Z,Child's Health Conference for Woman's Club of Emmitsburg,"Knights of Columbus Building, Emmitsburg","Meg assisted at a child's health conference for the Woman's Club of Emmitsburg. Her friend Beulah Weldon, who was visiting the area, also assisted. ",Health Conference," The Daily News (Frederick, MD)",June,11,1926
39.4142688,-77.4105409,1926-06-23T00:00:00Z,Child Clinic at the Washington Street School,Frederick,"Meg assisted at a child clinic at the Washington Street School in Frederick. ""Twenty-four children from a list of 30 who will enter the school in the Fall were examined, and satisfactory results obtained. It was stated that a large number had been vaccinated during the past two weeks, in accordance with the direction of the health officer.""",Child Clinic Held," The News (Frederick, MD)",June,23,1926
39.4464963,-77.5343208,1926-07-21T00:00:00Z,Health Clinic,Middletown,Meg assists at a health clinic in Middletown High School.,49 Children Examined at Middletown Clinic,"The News (Frederick, MD)",July,22,1926
39.3115396,-77.4753602,1926-10-13T00:00:00Z,Health Address at the PTA of the Adamstown School,,Meg gave a health address at a special meeting of the PTA of Adamstown school. ,P.T. Association Meets, The Frederick Post,October,13,1926
39.4142688,-77.4105409,1926-10-15T00:00:00Z,Maryland Social Service Club Meeting and Luncheon,Frederick,Meg attended the meeting and luncheon of the Frederick branch of the Maryland Social Service Club. ,Service Club to Dine Here Today,,October,15,1926
39.4142688,-77.4105409,1926-11-30T00:00:00Z,Chest Clinic,Frederick,Meg assisted at a Frederick chest clinic at the Courthouse. ,Two Clinics Held, The Frederick Post,November,30,1926
39.4268835,-77.4060342,1926-02-11T00:00:00Z,Health Board Conference,Frederick,"Meg attended an informal conference, at which they determined that the state regional health conference would need to be postponed because of weather. ",Conference of Health Board Here Postponed, The Frederick Post,February,11,1926
39.7061301,-77.4604797,,Meg's Home,Sabillasville,Meg lived in Sabillasville.,,,,,
39.7610471,-77.5827026,,Newman Family Home,Waynesboro,"The Newman family home was in Waynesboro, Pennsylvania.",,,,,
